Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WS,VORP,PER
2020,Anžejs Pase??iks,C,24,WAS,20,0,370,54,102,0.529,0,2,0,54,100,0.54,0.529,31,50,0.62,37,57,94,17,8,10,22,58,139,0.5,-0.3,12.3
2020,Patrick Patterson,PF,30,LAC,47,18,585,73,182,0.401,52,137,0.38,21,45,0.467,0.544,27,34,0.794,29,88,117,31,6,3,15,40,225,1.5,0.4,11.9
2020,Justin Patton,C,22,OKC,5,0,24,4,10,0.4,1,4,0.25,3,6,0.5,0.45,0,0,,1,4,5,2,0,0,2,4,9,0,-0.1,4.7
2020,Chris Paul,PG,34,OKC,57,57,1812,352,724,0.486,92,255,0.361,260,469,0.554,0.55,204,228,0.895,20,268,288,382,87,8,121,129,1000,7.4,2.8,21.6
2020,Elfrid Payton,PG,25,NYK,36,27,988,153,356,0.43,14,59,0.237,139,297,0.468,0.449,30,56,0.536,43,126,169,247,61,16,72,74,350,1.3,0.6,15.9
2020,Gary Payton,PG,27,WAS,24,17,407,44,108,0.407,12,41,0.293,32,67,0.478,0.463,4,8,0.5,25,48,73,45,32,7,19,48,104,0.4,0,11.2
2020,Norvel Pelle,C,26,PHI,17,0,170,18,33,0.545,0,0,,18,33,0.545,0.545,6,12,0.5,15,43,58,7,1,25,13,36,42,0.3,-0.1,12.2
2020,Theo Pinson,SG,24,BRK,29,0,346,45,152,0.296,15,78,0.192,30,74,0.405,0.345,15,16,0.938,10,41,51,53,15,2,32,33,120,-0.5,-0.5,5.3
2020,Mason Plumlee,C,29,DEN,46,1,797,135,220,0.614,0,4,0,135,216,0.625,0.614,68,123,0.553,80,171,251,112,25,28,68,104,338,2.7,0.9,19.1
2020,Vincent Poirier,C,26,BOS,21,0,114,16,33,0.485,1,2,0.5,15,31,0.484,0.5,6,7,0.857,10,24,34,7,2,6,6,23,39,0.3,-0.1,12.7
2020,Jakob Pöltl,C,24,SAS,56,9,951,133,215,0.619,0,0,,133,215,0.619,0.619,35,70,0.5,103,203,306,100,30,84,44,95,301,3.3,1.2,19.8
2020,Shamorie Ponds,PG,21,TOR,4,0,11,3,5,0.6,1,2,0.5,2,3,0.667,0.7,2,2,1,0,1,1,2,0,1,0,2,9,0.1,0,33.3
2020,Jordan Poole,SG,20,GSW,51,13,1129,140,450,0.311,63,240,0.263,77,210,0.367,0.381,84,102,0.824,7,100,107,106,32,9,59,87,427,-1.5,-1.6,6.2
2020,Kevin Porter,SF,19,CLE,45,2,1019,167,368,0.454,47,133,0.353,120,235,0.511,0.518,65,90,0.722,20,124,144,89,42,10,86,126,446,0.3,-0.5,10.9
2020,Michael Porter,PF,21,DEN,42,1,596,130,256,0.508,39,93,0.419,91,163,0.558,0.584,31,39,0.795,46,138,184,30,17,18,33,70,330,1.9,0.5,19.3
2020,Otto Porter,SF,26,CHI,9,9,226,35,84,0.417,16,40,0.4,19,44,0.432,0.512,15,20,0.75,8,23,31,14,9,3,7,20,101,0.5,0.1,13.5
2020,Bobby Portis,C,24,NYK,57,4,1194,214,494,0.433,58,166,0.349,156,328,0.476,0.492,64,83,0.771,76,228,304,89,28,11,64,100,550,1.5,0.2,14.1
2020,Kristaps Porzi??is,PF,24,DAL,44,44,1342,279,669,0.417,102,294,0.347,177,375,0.472,0.493,153,196,0.781,71,331,402,70,30,84,72,136,813,3.4,1,18.8
2020,Dwight Powell,C,28,DAL,40,37,1061,146,229,0.638,10,39,0.256,136,190,0.716,0.659,74,111,0.667,75,152,227,59,34,22,36,102,376,3.7,0.9,16.1
2020,Norman Powell,SG,26,TOR,38,17,1072,210,422,0.498,77,192,0.401,133,230,0.578,0.589,84,100,0.84,22,125,147,64,48,14,57,76,581,3.4,1.1,16.7
2020,Julius Randle,PF,25,NYK,55,55,1798,391,867,0.451,55,211,0.261,336,656,0.512,0.483,210,295,0.712,127,403,530,177,45,18,169,153,1047,1.8,0.6,16.6
2020,Josh Reaves,SG,22,DAL,2,0,1,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,-40.2
2020,Cam Reddish,SF,20,ATL,51,32,1346,169,472,0.358,63,211,0.299,106,261,0.406,0.425,91,113,0.805,33,157,190,78,54,24,82,119,492,-0.8,-0.9,7.9
2020,J.J. Redick,SG,35,NOP,53,35,1421,251,558,0.45,156,345,0.452,95,213,0.446,0.59,147,163,0.902,9,130,139,106,19,9,65,86,805,3.6,0.9,15.2
2020,Naz Reid,C,20,MIN,22,3,297,65,159,0.409,26,73,0.356,39,86,0.453,0.491,22,29,0.759,19,52,71,18,10,13,14,56,178,0.5,0,15.6
2020,Josh Richardson,SG,26,PHI,44,42,1368,231,537,0.43,67,202,0.332,164,335,0.49,0.493,97,121,0.802,36,110,146,139,42,28,90,116,626,1.9,0.1,12.1
2020,Austin Rivers,SG,27,HOU,53,4,1246,162,387,0.419,72,208,0.346,90,179,0.503,0.512,55,80,0.688,19,108,127,82,37,9,32,99,451,1.9,-0.1,10.1
2020,Duncan Robinson,SF,25,MIA,57,52,1676,241,530,0.455,202,465,0.434,39,65,0.6,0.645,41,46,0.891,8,171,179,81,28,13,46,161,725,4,0.8,12.3
2020,Glenn Robinson,SF,26,TOT,53,50,1588,260,535,0.486,68,177,0.384,192,358,0.536,0.55,63,74,0.851,67,166,233,89,51,15,51,88,651,2.3,0,13.4
2020,Glenn Robinson,SF,26,GSW,48,48,1516,244,507,0.481,68,170,0.4,176,337,0.522,0.548,63,74,0.851,66,160,226,85,45,14,50,82,619,2.1,0,13.2
2020,Glenn Robinson,SF,26,PHI,5,2,72,16,28,0.571,0,7,0,16,21,0.762,0.571,0,0,,1,6,7,4,6,1,1,6,32,0.2,0.1,16.7
2020,Jerome Robinson,SG,22,TOT,48,1,579,58,169,0.343,24,80,0.3,34,89,0.382,0.414,12,21,0.571,6,77,83,53,15,8,29,68,152,-0.1,0,5
